node,ip,port,country,colo,latency_ms,speed_mbps,score,stability,latency_score,speed_penalty,speed_tier,stability_weighted
206.237.0.11:8443,206.237.0.11,8443,HK,HKG,290.31,45.86,315.41,500,290.31,-4.9,above_30mbps_reward,30.0
45.38.60.153:8443,45.38.60.153,8443,HK,HKG,294.87,43.21,320.66,500,294.87,-4.21,above_30mbps_reward,30.0
5.223.95.244:443,5.223.95.244,443,SG,SIN,299.29,47.69,323.94,500,299.29,-5.35,above_30mbps_reward,30.0
108.165.155.200:8443,108.165.155.200,8443,HK,,296.37,25.62,328.56,500,296.37,2.19,below_30mbps,30.0
138.124.111.115:443,138.124.111.115,443,HK,HKG,298.34,22.06,332.31,500,298.34,3.97,below_30mbps,30.0
185.225.20.99:8443,185.225.20.99,8443,SG,SIN,309.85,36.06,337.73,500,309.85,-2.12,above_30mbps_reward,30.0
217.60.248.100:8443,217.60.248.100,8443,HK,HKG,312.31,41.96,338.44,500,312.31,-3.87,above_30mbps_reward,30.0
176.98.181.6:8443,176.98.181.6,8443,HK,HKG,314.02,42.49,340.0,500,314.02,-4.02,above_30mbps_reward,30.0
151.245.90.60:8443,151.245.90.60,8443,HK,HKG,314.39,30.3,344.28,500,314.39,-0.11,above_30mbps_reward,30.0
45.38.42.73:2053,45.38.42.73,2053,HK,HKG,319.41,39.88,346.12,500,319.41,-3.29,above_30mbps_reward,30.0
141.11.43.55:443,141.11.43.55,443,SG,SIN,311.65,15.6,348.85,500,311.65,7.2,below_30mbps,30.0
188.253.6.173:443,188.253.6.173,443,TW,,313.08,17.16,349.5,500,313.08,6.42,below_30mbps,30.0
45.39.190.24:2053,45.39.190.24,2053,HK,HKG,323.61,41.87,349.76,500,323.61,-3.85,above_30mbps_reward,30.0
82.152.91.210:443,82.152.91.210,443,TW,TPE,318.7,16.66,355.37,500,318.7,6.67,below_30mbps,30.0
176.98.181.71:443,176.98.181.71,443,HK,,322.8,24.36,355.62,500,322.8,2.82,below_30mbps,30.0
2.56.91.49:8443,2.56.91.49,8443,HK,HKG,334.35,31.29,363.86,500,334.35,-0.49,above_30mbps_reward,30.0
212.192.15.182:443,212.192.15.182,443,HK,HKG,339.75,20.19,374.65,500,339.75,4.9,below_30mbps,30.0
