node,ip,port,country,colo,latency_ms,speed_mbps,score,stability,latency_score,speed_penalty,speed_tier,stability_weighted
220.135.92.105:2087,220.135.92.105,2087,TW,TPE,39.7,102.61,55.51,56.88,39.7,-14.19,above_30mbps_reward,17.06
18.178.41.33:443,18.178.41.33,443,JP,NRT,72.26,553.44,68.62,98.67,72.26,-33.64,above_30mbps_reward,29.6
35.194.109.94:443,35.194.109.94,443,JP,,73.26,323.44,75.82,99.98,73.26,-27.44,above_30mbps_reward,29.99
54.250.124.53:443,54.250.124.53,443,JP,NRT,78.78,509.04,76.1,105.82,78.78,-32.68,above_30mbps_reward,30.0
118.156.166.251:443,118.156.166.251,443,JP,NRT,82.24,668.17,76.42,107.86,82.24,-35.82,above_30mbps_reward,30.0
34.104.208.126:443,34.104.208.126,443,JP,NRT,70.52,209.95,78.06,97.92,70.52,-22.46,above_30mbps_reward,29.38
54.248.55.203:443,54.248.55.203,443,JP,NRT,87.06,805.32,79.09,100.96,87.06,-37.97,above_30mbps_reward,30.0
13.193.152.12:443,13.193.152.12,443,JP,NRT,78.75,353.58,80.28,106.05,78.75,-28.47,above_30mbps_reward,30.0
43.164.191.65:8443,43.164.191.65,8443,KR,ICN,83.97,126.55,82.67,87.06,83.97,-16.61,above_30mbps_reward,26.12
211.49.57.179:443,211.49.57.179,443,KR,ICN,72.05,119.82,86.07,500,72.05,-15.98,above_30mbps_reward,30.0
54.150.9.209:443,54.150.9.209,443,JP,,72.34,106.87,87.68,107.54,72.34,-14.66,above_30mbps_reward,30.0
35.75.55.100:443,35.75.55.100,443,JP,NRT,78.94,184.75,87.96,500,78.94,-20.98,above_30mbps_reward,30.0
45.76.158.201:8443,45.76.158.201,8443,SG,SIN,90.29,442.84,89.22,54.58,90.29,-31.07,above_30mbps_reward,16.37
54.238.236.208:443,54.238.236.208,443,JP,NRT,75.58,112.6,90.31,106.5,75.58,-15.27,above_30mbps_reward,30.0
43.155.221.27:8443,43.155.221.27,8443,KR,ICN,84.44,29.46,92.72,18.58,84.44,0.27,below_30mbps,5.57
52.141.39.15:443,52.141.39.15,443,KR,,109.41,280.29,95.11,100.16,109.41,-25.79,above_30mbps_reward,30.0
43.165.178.147:8443,43.165.178.147,8443,JP,NRT,87.78,184.53,96.81,50.28,87.78,-20.97,above_30mbps_reward,15.09
43.133.182.111:443,43.133.182.111,443,JP,NRT,88.19,38.09,97.08,33.84,88.19,-2.76,above_30mbps_reward,10.15
168.107.0.116:8443,168.107.0.116,8443,KR,ICN,102.31,529.53,99.18,99.6,102.31,-33.13,above_30mbps_reward,29.88
