node,ip,port,country,colo,latency_ms,speed_mbps,score,stability
1.162.65.16:8443,1.162.65.16,8443,TW,TPE,42.11,187.0,50.99,500
54.251.249.94:8443,54.251.249.94,8443,SG,SIN,58.78,258.35,63.93,500
47.237.187.96:2053,47.237.187.96,2053,SG,SIN,60.8,278.87,65.07,500
13.193.106.143:443,13.193.106.143,443,JP,NRT,73.74,800.3,65.84,500
35.194.109.94:443,35.194.109.94,443,JP,,73.44,524.45,70.42,500
13.159.223.80:443,13.159.223.80,443,JP,NRT,73.35,497.95,70.93,500
54.248.55.203:443,54.248.55.203,443,JP,NRT,77.19,684.56,71.09,500
54.199.39.232:443,54.199.39.232,443,JP,NRT,81.25,776.06,73.7,500
18.178.41.33:443,18.178.41.33,443,JP,NRT,69.85,279.51,74.09,500
13.193.114.134:443,13.193.114.134,443,JP,NRT,76.07,475.44,74.18,500
18.181.221.23:443,18.181.221.23,443,JP,NRT,77.6,374.36,78.47,500
13.113.194.44:443,13.113.194.44,443,JP,NRT,70.13,187.67,78.97,500
13.193.115.77:443,13.193.115.77,443,JP,NRT,83.54,520.98,80.59,500
54.64.107.127:443,54.64.107.127,443,JP,NRT,74.49,185.49,83.46,500
13.250.31.132:443,13.250.31.132,443,SG,SIN,57.37,40.61,83.88,500
18.181.108.44:443,18.181.108.44,443,JP,NRT,78.52,251.79,83.97,500
3.115.100.16:443,3.115.100.16,443,JP,NRT,75.62,176.04,85.2,500
43.160.246.223:8443,43.160.246.223,8443,SG,,73.1,131.86,86.01,500
54.150.241.35:443,54.150.241.35,443,JP,NRT,84.74,358.16,86.12,500
54.150.9.209:443,54.150.9.209,443,JP,NRT,77.42,188.6,86.2,500
43.165.178.147:8443,43.165.178.147,8443,JP,NRT,79.05,205.45,86.84,500
154.19.186.134:443,154.19.186.134,443,JP,NRT,66.18,66.57,86.98,500
34.104.208.126:443,34.104.208.126,443,JP,NRT,68.06,73.94,87.65,500
13.193.152.12:443,13.193.152.12,443,JP,NRT,80.84,186.51,89.75,500
154.19.186.85:443,154.19.186.85,443,JP,NRT,69.27,68.23,89.79,500
54.238.236.208:443,54.238.236.208,443,JP,NRT,94.77,571.77,90.75,500
47.245.62.50:443,47.245.62.50,443,JP,,66.28,46.78,91.15,500
115.163.106.137:443,115.163.106.137,443,JP,,78.05,128.95,91.22,500
18.180.0.203:443,18.180.0.203,443,JP,NRT,95.88,598.44,91.33,500
57.181.195.93:443,57.181.195.93,443,JP,NRT,82.8,190.82,91.45,500
13.230.140.233:443,13.230.140.233,443,JP,NRT,98.07,693.7,91.82,500
3.112.34.29:443,3.112.34.29,443,JP,NRT,84.31,167.9,94.43,500
18.136.144.105:443,18.136.144.105,443,SG,SIN,75.73,63.02,97.16,500
20.78.144.137:443,20.78.144.137,443,JP,,88.7,184.78,97.72,500
54.199.97.220:443,54.199.97.220,443,JP,NRT,84.14,122.32,97.92,500
118.156.166.251:443,118.156.166.251,443,JP,NRT,87.96,168.32,98.05,500
56.155.51.149:443,56.155.51.149,443,JP,KIX,89.04,163.38,99.48,500
43.133.219.217:443,43.133.219.217,443,JP,,71.67,31.08,101.26,500
54.250.124.53:443,54.250.124.53,443,JP,NRT,96.73,184.68,105.75,500
43.164.191.65:8443,43.164.191.65,8443,KR,ICN,85.66,69.26,106.0,500
13.231.33.243:443,13.231.33.243,443,JP,NRT,111.29,594.46,106.82,500
43.165.175.34:443,43.165.175.34,443,JP,NRT,92.39,115.19,106.86,500
43.133.237.158:8443,43.133.237.158,8443,KR,ICN,78.07,29.7,108.22,500
43.133.1.62:443,43.133.1.62,443,JP,NRT,80.7,32.7,109.71,500
43.153.166.110:8443,43.153.166.110,8443,JP,NRT,82.72,27.45,114.0,500
3.35.238.2:443,3.35.238.2,443,KR,ICN,102.56,141.87,114.63,500
124.156.208.160:443,124.156.208.160,443,JP,NRT,80.08,20.1,115.03,500
43.163.238.201:8443,43.163.238.201,8443,JP,NRT,79.03,17.47,115.3,500
119.28.162.39:8443,119.28.162.39,8443,KR,ICN,84.03,27.39,115.34,500
52.141.39.15:443,52.141.39.15,443,KR,,101.39,120.24,115.37,500
43.167.203.4:443,43.167.203.4,443,JP,NRT,83.4,25.56,115.62,500
45.77.254.160:8443,45.77.254.160,8443,SG,,103.47,133.98,116.2,500
54.180.151.15:443,54.180.151.15,443,KR,,101.83,116.11,116.21,500
43.155.221.27:8443,43.155.221.27,8443,KR,ICN,87.97,29.75,118.09,500
43.163.225.175:443,43.163.225.175,443,JP,NRT,88.95,31.9,118.24,500
144.24.94.127:443,144.24.94.127,443,KR,ICN,103.91,112.76,118.63,500
168.107.0.116:8443,168.107.0.116,8443,KR,ICN,108.37,134.69,121.04,500
111.97.164.62:8443,111.97.164.62,8443,JP,NRT,105.65,84.21,123.74,500
45.32.108.81:8443,45.32.108.81,8443,SG,SIN,111.99,136.3,124.52,500
43.153.155.143:8443,43.153.155.143,8443,JP,NRT,95.17,30.64,124.93,500
138.2.122.191:443,138.2.122.191,443,KR,ICN,102.13,43.99,127.71,500
43.133.182.111:443,43.133.182.111,443,JP,NRT,100.06,29.13,130.5,500
133.18.140.38:443,133.18.140.38,443,JP,NRT,108.23,46.02,133.29,500
43.153.155.143:2053,43.153.155.143,2053,JP,NRT,99.4,21.06,133.87,500
216.23.121.134:8443,216.23.121.134,8443,JP,NRT,116.66,88.76,134.14,500
8.222.185.236:443,8.222.185.236,443,JP,NRT,133.09,323.96,135.63,500
5.226.49.101:443,5.226.49.101,443,JP,NRT,102.25,21.64,136.43,500
45.95.212.117:443,45.95.212.117,443,JP,NRT,118.91,76.87,138.05,500
66.42.61.215:443,66.42.61.215,443,SG,SIN,126.32,139.3,138.6,500
45.142.125.44:2083,45.142.125.44,2083,JP,NRT,122.7,99.77,138.83,500
45.89.232.141:443,45.89.232.141,443,JP,NRT,120.24,77.43,139.3,500
131.143.215.142:443,131.143.215.142,443,JP,,105.92,23.24,139.3,500
45.89.232.34:443,45.89.232.34,443,JP,NRT,121.13,82.33,139.48,500
45.89.232.242:443,45.89.232.242,443,JP,NRT,118.24,62.28,139.81,500
8.219.195.31:443,8.219.195.31,443,JP,NRT,139.92,390.04,140.32,500
45.143.234.164:443,45.143.234.164,443,JP,NRT,118.66,58.92,140.87,500
45.153.246.5:443,45.153.246.5,443,JP,NRT,122.56,80.72,141.14,500
185.239.224.185:443,185.239.224.185,443,JP,NRT,123.17,84.78,141.18,500
193.32.148.198:443,193.32.148.198,443,JP,NRT,125.16,90.98,142.36,500
212.135.212.26:443,212.135.212.26,443,JP,NRT,126.04,92.3,143.07,500
45.89.232.249:443,45.89.232.249,443,JP,NRT,121.61,60.37,143.54,500
185.200.64.104:443,185.200.64.104,443,JP,NRT,123.06,61.52,144.77,500
82.22.26.249:8443,82.22.26.249,8443,JP,,129.08,97.05,145.53,500
43.133.42.56:2053,43.133.42.56,2053,SG,SIN,115.16,27.74,146.29,500
144.48.4.248:443,144.48.4.248,443,JP,,128.68,84.08,146.79,500
153.121.32.71:443,153.121.32.71,443,JP,,111.64,18.8,147.24,500
23.151.104.14:443,23.151.104.14,443,JP,,130.96,98.13,147.29,500
154.19.186.207:443,154.19.186.207,443,JP,NRT,122.3,46.08,147.35,500
103.170.233.213:443,103.170.233.213,443,JP,NRT,117.73,30.85,147.41,500
160.16.59.9:443,160.16.59.9,443,JP,NRT,116.88,28.11,147.82,500
156.243.244.129:443,156.243.244.129,443,JP,,130.0,82.82,148.28,500
103.201.131.64:443,103.201.131.64,443,JP,NRT,133.24,96.26,149.78,500
161.118.195.117:8443,161.118.195.117,8443,SG,,125.49,47.47,150.19,500
160.16.62.84:443,160.16.62.84,443,JP,NRT,117.57,22.49,151.32,500
212.135.212.47:443,212.135.212.47,443,JP,NRT,134.78,80.87,153.33,500
103.201.131.83:443,103.201.131.83,443,JP,NRT,136.36,90.9,153.57,500
91.200.243.253:443,91.200.243.253,443,JP,NRT,138.04,100.21,154.12,500
103.201.131.57:443,103.201.131.57,443,JP,NRT,137.22,79.72,155.94,500
154.19.187.141:443,154.19.187.141,443,JP,NRT,137.2,72.73,156.98,500
212.135.212.26:8443,212.135.212.26,8443,JP,NRT,141.75,91.82,158.84,500
161.118.223.30:8443,161.118.223.30,8443,SG,SIN,136.74,55.59,159.62,500
14.137.235.132:443,14.137.235.132,443,JP,NRT,128.14,26.74,159.77,500
134.185.88.235:8443,134.185.88.235,8443,SG,SIN,145.22,106.77,160.57,500
154.83.91.206:443,154.83.91.206,443,JP,,143.8,82.08,162.19,500
93.93.246.12:443,93.93.246.12,443,JP,,144.02,81.84,162.43,500
45.8.115.13:443,45.8.115.13,443,JP,KIX,126.63,17.74,162.76,500
153.121.76.150:443,153.121.76.150,443,JP,,129.08,22.37,162.9,500
202.144.192.53:443,202.144.192.53,443,JP,NRT,146.88,91.99,163.95,500
188.239.9.91:443,188.239.9.91,443,SG,SIN,125.55,11.15,167.1,500
45.251.240.205:443,45.251.240.205,443,JP,KIX,152.54,94.34,169.32,500
154.19.187.1:443,154.19.187.1,443,JP,NRT,156.25,103.35,171.97,500
45.116.14.38:443,45.116.14.38,443,JP,,152.75,76.18,171.99,500
23.176.40.217:443,23.176.40.217,443,JP,NRT,137.85,19.45,173.12,500
158.247.253.111:8443,158.247.253.111,8443,KR,,235.0,45.08,260.3,500
140.245.54.99:2053,140.245.54.99,2053,SG,,238.37,54.02,261.59,500
195.85.19.194:8443,195.85.19.194,8443,SG,,234.62,26.89,266.18,500
5.223.95.244:443,5.223.95.244,443,SG,,244.78,56.59,267.46,500
5.223.56.239:2053,5.223.56.239,2053,SG,,249.17,53.29,272.54,500
185.151.146.61:443,185.151.146.61,443,SG,,253.72,47.87,278.32,500
5.223.60.212:443,5.223.60.212,443,SG,,257.39,52.68,280.89,500
43.156.181.203:443,43.156.181.203,443,SG,SIN,240.53,10.83,283.04,500
5.223.52.82:443,5.223.52.82,443,SG,SIN,260.7,51.9,284.37,500
45.76.176.213:8443,45.76.176.213,8443,SG,SIN,272.37,131.13,285.35,500
5.223.51.84:443,5.223.51.84,443,SG,,265.3,51.33,289.11,500
5.223.56.239:8443,5.223.56.239,8443,SG,,268.43,55.36,291.36,500
167.88.172.82:443,167.88.172.82,443,SG,SIN,271.34,62.89,292.8,500
45.127.35.143:443,45.127.35.143,443,SG,SIN,267.37,30.03,297.36,500
5.223.59.9:443,5.223.59.9,443,SG,SIN,274.82,53.64,298.11,500
5.223.93.107:8443,5.223.93.107,8443,SG,SIN,275.22,54.25,298.38,500
64.56.71.64:8443,64.56.71.64,8443,SG,,275.9,55.79,298.74,500
185.81.28.39:443,185.81.28.39,443,SG,SIN,280.26,51.76,303.96,500
116.251.217.107:443,116.251.217.107,443,SG,SIN,274.11,24.81,306.71,500
167.254.241.32:2053,167.254.241.32,2053,SG,SIN,274.29,13.87,307.68,500
116.251.216.12:8443,116.251.216.12,8443,SG,,275.04,16.18,311.95,500
116.251.216.23:8443,116.251.216.23,8443,SG,,304.25,50.39,328.27,500
45.92.158.56:443,45.92.158.56,443,SG,,324.72,39.76,351.47,500
141.11.43.55:443,141.11.43.55,443,SG,,328.73,39.31,355.61,500
77.93.90.231:443,77.93.90.231,443,SG,,339.17,35.86,367.11,500
188.253.125.246:8443,188.253.125.246,8443,SG,,340.14,32.64,369.16,500
194.233.67.84:2053,194.233.67.84,2053,SG,,343.46,32.98,372.36,500
62.146.232.232:443,62.146.232.232,443,SG,,357.36,28.4,388.16,500
46.250.232.25:443,46.250.232.25,443,SG,SIN,358.04,18.24,393.92,500
194.87.10.77:443,194.87.10.77,443,SG,,364.95,23.01,398.45,500
46.250.231.61:443,46.250.231.61,443,SG,,374.3,29.78,404.41,500
194.56.225.65:2053,194.56.225.65,2053,SG,,379.94,34.59,408.3,500
168.144.129.207:8443,168.144.129.207,8443,SG,,382.52,10.03,427.43,500
