node,ip,port,country,colo,latency_ms,speed_mbps,score,stability,latency_score,speed_penalty,speed_tier,stability_weighted
54.250.124.53:443,54.250.124.53,443,JP,,74.45,543.69,71.01,106.8,74.45,-33.44,above_30mbps_reward,30.0
35.194.109.94:443,35.194.109.94,443,JP,,66.83,278.17,71.13,99.91,66.83,-25.7,above_30mbps_reward,29.97
34.104.208.126:443,34.104.208.126,443,JP,NRT,69.79,239.57,75.81,97.58,69.79,-23.98,above_30mbps_reward,29.27
45.76.158.201:8443,45.76.158.201,8443,SG,SIN,80.21,568.2,76.26,106.05,80.21,-33.95,above_30mbps_reward,30.0
54.238.236.208:443,54.238.236.208,443,JP,NRT,83.61,594.62,79.14,105.73,83.61,-34.47,above_30mbps_reward,30.0
35.75.55.100:443,35.75.55.100,443,JP,NRT,84.49,394.84,84.74,500,84.49,-29.75,above_30mbps_reward,30.0
118.156.166.251:443,118.156.166.251,443,JP,,91.41,660.23,85.73,106.72,91.41,-35.68,above_30mbps_reward,30.0
54.248.55.203:443,54.248.55.203,443,JP,NRT,78.22,194.89,86.62,97.4,78.22,-21.6,above_30mbps_reward,29.22
18.178.41.33:443,18.178.41.33,443,JP,NRT,87.91,447.29,86.72,104.29,87.91,-31.19,above_30mbps_reward,30.0
43.165.178.147:8443,43.165.178.147,8443,JP,NRT,79.81,214.62,87.1,34.55,79.81,-22.71,above_30mbps_reward,10.37
149.28.153.75:443,149.28.153.75,443,SG,,79.44,192.73,87.97,500,79.44,-21.47,above_30mbps_reward,30.0
13.193.152.12:443,13.193.152.12,443,JP,NRT,90.51,468.67,88.79,109.84,90.51,-31.72,above_30mbps_reward,30.0
45.77.36.196:443,45.77.36.196,443,SG,SIN,80.92,184.45,89.96,500,80.92,-20.96,above_30mbps_reward,30.0
54.150.9.209:443,54.150.9.209,443,JP,NRT,82.3,167.76,92.43,48.28,82.3,-19.87,above_30mbps_reward,14.48
43.133.182.111:443,43.133.182.111,443,JP,NRT,76.99,21.76,92.75,35.76,76.99,4.12,below_30mbps,10.73
43.163.238.201:8443,43.163.238.201,8443,JP,NRT,79.82,16.09,95.2,20.67,79.82,6.96,below_30mbps,6.2
43.164.191.65:8443,43.164.191.65,8443,KR,ICN,85.25,32.93,99.49,47.83,85.25,-1.08,above_30mbps_reward,14.35
45.77.254.160:8443,45.77.254.160,8443,SG,SIN,90.03,166.86,100.23,102.72,90.03,-19.8,above_30mbps_reward,30.0
144.24.94.127:443,144.24.94.127,443,KR,ICN,102.82,379.13,103.54,105.55,102.82,-29.28,above_30mbps_reward,30.0
138.2.122.191:443,138.2.122.191,443,KR,,96.61,43.96,103.75,31.19,96.61,-4.41,above_30mbps_reward,9.36
168.107.0.116:8443,168.107.0.116,8443,KR,ICN,106.9,467.43,105.21,99.39,106.9,-31.69,above_30mbps_reward,29.82
54.150.241.35:443,54.150.241.35,443,JP,NRT,97.88,199.77,106.0,111.57,97.88,-21.88,above_30mbps_reward,30.0
43.155.221.27:8443,43.155.221.27,8443,KR,ICN,96.69,26.79,106.31,24.57,96.69,1.61,below_30mbps,7.37
43.133.1.62:443,43.133.1.62,443,JP,NRT,79.77,27.62,110.96,30.55,79.77,1.19,below_30mbps,9.16
43.133.253.45:443,43.133.253.45,443,KR,ICN,85.54,28.87,116.11,500,85.54,0.56,below_30mbps,30.0
66.42.51.60:8443,66.42.51.60,8443,SG,SIN,82.17,11.18,123.63,26.61,82.17,11.46,below_15mbps,7.98
23.249.17.25:443,23.249.17.25,443,JP,,100.79,51.42,124.57,117.5,100.79,-6.22,above_30mbps_reward,30.0
144.24.73.232:443,144.24.73.232,443,KR,ICN,102.79,48.02,127.36,500,102.79,-5.43,above_30mbps_reward,30.0
144.24.68.111:443,144.24.68.111,443,KR,ICN,104.82,49.2,129.11,500,104.82,-5.71,above_30mbps_reward,30.0
139.180.145.233:443,139.180.145.233,443,SG,SIN,117.92,95.44,134.56,500,117.92,-13.36,above_30mbps_reward,30.0
8.222.185.236:443,8.222.185.236,443,SG,NRT,136.79,382.37,137.41,85.26,136.79,-29.38,above_30mbps_reward,25.58
43.133.232.228:8443,43.133.232.228,8443,KR,ICN,119.05,29.77,149.16,37.55,119.05,0.12,below_30mbps,11.26
161.118.195.117:8443,161.118.195.117,8443,SG,SIN,131.25,43.71,156.91,31.64,131.25,-4.34,above_30mbps_reward,9.49
161.118.223.30:8443,161.118.223.30,8443,SG,SIN,136.42,54.61,159.51,26.14,136.42,-6.91,above_30mbps_reward,7.84
49.238.238.217:443,49.238.238.217,443,KR,,155.67,106.47,171.05,500,155.67,-14.62,above_30mbps_reward,30.0
49.238.236.39:443,49.238.236.39,443,KR,LAX,162.58,105.26,178.09,500,162.58,-14.49,above_30mbps_reward,30.0
49.238.239.40:443,49.238.239.40,443,KR,LAX,173.13,109.74,188.16,500,173.13,-14.97,above_30mbps_reward,30.0
49.238.239.25:2087,49.238.239.25,2087,KR,LAX,173.13,106.97,188.46,500,173.13,-14.67,above_30mbps_reward,30.0
49.238.236.30:2053,49.238.236.30,2053,KR,LAX,173.56,107.18,188.86,500,173.56,-14.7,above_30mbps_reward,30.0
49.238.237.212:2053,49.238.237.212,2053,KR,LAX,174.34,108.64,189.49,500,174.34,-14.85,above_30mbps_reward,30.0
49.238.237.172:2096,49.238.237.172,2096,KR,LAX,174.33,105.31,189.84,500,174.33,-14.49,above_30mbps_reward,30.0
49.238.238.51:2096,49.238.238.51,2096,KR,LAX,174.75,106.2,190.16,500,174.75,-14.59,above_30mbps_reward,30.0
49.238.236.25:2087,49.238.236.25,2087,KR,LAX,175.94,107.23,191.24,500,175.94,-14.7,above_30mbps_reward,30.0
49.238.237.232:8443,49.238.237.232,8443,KR,LAX,175.9,104.65,191.48,500,175.9,-14.42,above_30mbps_reward,30.0
49.238.237.152:2096,49.238.237.152,2096,KR,LAX,177.46,108.67,192.6,500,177.46,-14.86,above_30mbps_reward,30.0
49.238.239.41:2053,49.238.239.41,2053,KR,LAX,183.08,106.35,198.47,31.35,183.08,-14.61,above_30mbps_reward,9.4
49.238.236.12:2053,49.238.236.12,2053,KR,LAX,185.29,105.08,200.82,500,185.29,-14.47,above_30mbps_reward,30.0
49.238.238.187:2096,49.238.238.187,2096,KR,LAX,209.94,105.58,225.42,500,209.94,-14.52,above_30mbps_reward,30.0
31.77.228.53:443,31.77.228.53,443,KR,WAW,199.52,27.14,230.95,26.32,199.52,1.43,below_30mbps,7.9
54.180.151.15:443,54.180.151.15,443,KR,ICN,235.61,65.54,242.54,141.46,235.61,-9.02,above_30mbps_reward,30.0
