node,ip,port,country,colo,latency_ms,speed_mbps,score,stability,latency_score,speed_penalty,speed_tier,stability_weighted
34.92.79.184:8443,34.92.79.184,8443,HK,HKG,29.4,631.41,24.24,500,29.4,-35.16,above_30mbps_reward,30.0
23.133.52.10:2053,23.133.52.10,2053,HK,HKG,31.35,593.59,26.9,500,31.35,-34.45,above_30mbps_reward,30.0
45.135.119.123:443,45.135.119.123,443,HK,HKG,52.35,465.63,50.7,500,52.35,-31.65,above_30mbps_reward,30.0
220.135.92.105:2087,220.135.92.105,2087,TW,TPE,43.47,142.69,55.47,500,43.47,-18.0,above_30mbps_reward,30.0
103.30.77.144:8443,103.30.77.144,8443,HK,HKG,49.89,106.55,65.26,500,49.89,-14.63,above_30mbps_reward,30.0
54.238.236.208:443,54.238.236.208,443,JP,NRT,71.48,667.64,65.67,500,71.48,-35.81,above_30mbps_reward,30.0
43.250.175.174:8443,43.250.175.174,8443,HK,HKG,26.13,10.3,70.23,500,26.13,14.1,below_15mbps,30.0
54.250.124.53:443,54.250.124.53,443,JP,NRT,78.07,659.88,72.4,500,78.07,-35.67,above_30mbps_reward,30.0
35.75.55.100:443,35.75.55.100,443,JP,NRT,77.55,588.72,73.19,500,77.55,-34.36,above_30mbps_reward,30.0
38.147.190.31:8443,38.147.190.31,8443,HK,HKG,57.66,97.75,74.03,500,57.66,-13.63,above_30mbps_reward,30.0
54.150.9.209:443,54.150.9.209,443,JP,NRT,76.13,467.79,74.43,500,76.13,-31.7,above_30mbps_reward,30.0
18.178.41.33:443,18.178.41.33,443,JP,NRT,79.49,571.37,75.48,500,79.49,-34.01,above_30mbps_reward,30.0
43.165.178.147:8443,43.165.178.147,8443,JP,NRT,67.36,178.91,76.75,500,67.36,-20.61,above_30mbps_reward,30.0
114.32.9.249:443,114.32.9.249,443,TW,TPE,50.55,39.8,77.29,500,50.55,-3.26,above_30mbps_reward,30.0
52.196.144.46:443,52.196.144.46,443,JP,NRT,79.42,467.02,77.74,500,79.42,-31.68,above_30mbps_reward,30.0
54.248.55.203:443,54.248.55.203,443,JP,NRT,82.47,577.79,78.33,500,82.47,-34.14,above_30mbps_reward,30.0
45.76.158.201:8443,45.76.158.201,8443,SG,SIN,79.5,414.41,79.2,500,79.5,-30.3,above_30mbps_reward,30.0
35.194.109.94:443,35.194.109.94,443,JP,,82.61,536.74,79.32,500,82.61,-33.29,above_30mbps_reward,30.0
