node,ip,port,country,colo,latency_ms,speed_mbps,score,stability,latency_score,speed_penalty,speed_tier,stability_weighted
34.104.208.126:443,34.104.208.126,443,JP,NRT,74.12,212.91,81.5,500,74.12,-22.62,above_30mbps_reward,30.0
3.112.34.29:443,3.112.34.29,443,JP,NRT,75.66,172.71,85.46,500,75.66,-20.2,above_30mbps_reward,30.0
54.150.241.35:443,54.150.241.35,443,JP,NRT,94.89,781.07,87.27,500,94.89,-37.62,above_30mbps_reward,30.0
45.77.36.196:443,45.77.36.196,443,SG,SIN,85.65,291.86,89.39,500,85.65,-26.26,above_30mbps_reward,30.0
13.193.152.12:443,13.193.152.12,443,JP,NRT,93.91,532.64,90.71,500,93.91,-33.2,above_30mbps_reward,30.0
43.160.246.223:8443,43.160.246.223,8443,SG,SIN,76.55,100.01,92.65,500,76.55,-13.9,above_30mbps_reward,30.0
122.10.119.252:443,122.10.119.252,443,HK,HKG,54.37,11.86,93.79,500,54.37,9.42,below_15mbps,30.0
43.133.182.111:443,43.133.182.111,443,JP,NRT,76.69,56.89,99.3,500,76.69,-7.39,above_30mbps_reward,30.0
43.133.1.62:443,43.133.1.62,443,JP,NRT,76.52,54.61,99.61,500,76.52,-6.91,above_30mbps_reward,30.0
43.153.155.143:2053,43.153.155.143,2053,JP,NRT,76.67,28.35,107.5,500,76.67,0.82,below_30mbps,30.0
43.153.155.143:8443,43.153.155.143,8443,JP,NRT,79.36,32.44,108.46,500,79.36,-0.9,above_30mbps_reward,30.0
43.155.221.27:8443,43.155.221.27,8443,KR,ICN,78.74,29.42,109.03,500,78.74,0.29,below_30mbps,30.0
219.76.13.181:443,219.76.13.181,443,HK,HKG,66.01,10.11,110.68,500,66.01,14.67,below_15mbps,30.0
43.164.191.65:8443,43.164.191.65,8443,KR,ICN,93.15,51.76,116.85,500,93.15,-6.3,above_30mbps_reward,30.0
144.24.94.127:443,144.24.94.127,443,KR,ICN,102.95,113.8,117.56,500,102.95,-15.39,above_30mbps_reward,30.0
45.77.254.160:8443,45.77.254.160,8443,SG,SIN,109.08,190.74,117.73,500,109.08,-21.35,above_30mbps_reward,30.0
82.40.35.90:443,82.40.35.90,443,JP,,92.49,14.62,123.63,500,92.49,1.14,below_15mbps,30.0
43.133.253.45:443,43.133.253.45,443,KR,,94.1,30.3,123.98,500,94.1,-0.11,above_30mbps_reward,30.0
144.24.73.232:443,144.24.73.232,443,KR,ICN,101.89,53.08,125.3,500,101.89,-6.59,above_30mbps_reward,30.0
52.141.39.15:443,52.141.39.15,443,KR,,111.58,116.48,125.92,500,111.58,-15.66,above_30mbps_reward,30.0
43.163.238.201:8443,43.163.238.201,8443,JP,NRT,91.16,18.24,127.04,500,91.16,5.88,below_30mbps,30.0
66.42.51.60:8443,66.42.51.60,8443,SG,SIN,86.55,11.26,127.77,500,86.55,11.22,below_15mbps,30.0
43.133.42.56:2053,43.133.42.56,2053,SG,SIN,102.33,41.91,128.47,500,102.33,-3.86,above_30mbps_reward,30.0
138.2.122.191:443,138.2.122.191,443,KR,ICN,104.36,49.31,128.62,500,104.36,-5.74,above_30mbps_reward,30.0
154.12.188.210:2096,154.12.188.210,2096,HK,HKG,117.46,134.89,130.11,500,117.46,-17.35,above_30mbps_reward,30.0
168.107.0.116:8443,168.107.0.116,8443,KR,ICN,119.3,144.1,131.19,500,119.3,-18.11,above_30mbps_reward,30.0
154.12.188.210:2083,154.12.188.210,2083,HK,HKG,123.78,135.31,136.39,500,123.78,-17.39,above_30mbps_reward,30.0
139.180.145.233:443,139.180.145.233,443,SG,,126.99,167.45,137.14,500,126.99,-19.85,above_30mbps_reward,30.0
168.138.191.251:443,168.138.191.251,443,SG,,132.21,52.32,155.79,500,132.21,-6.42,above_30mbps_reward,30.0
158.178.229.178:443,158.178.229.178,443,SG,,127.96,23.66,161.13,500,127.96,3.17,below_30mbps,30.0
54.180.151.15:443,54.180.151.15,443,KR,,134.06,32.36,163.18,500,134.06,-0.87,above_30mbps_reward,30.0
158.178.230.113:8443,158.178.230.113,8443,SG,SIN,141.47,41.89,167.62,500,141.47,-3.85,above_30mbps_reward,30.0
49.238.238.217:443,49.238.238.217,443,KR,,155.44,106.43,170.83,500,155.44,-14.61,above_30mbps_reward,30.0
49.238.237.63:443,49.238.237.63,443,KR,,155.55,107.01,170.87,500,155.55,-14.68,above_30mbps_reward,30.0
49.238.238.131:443,49.238.238.131,443,KR,,156.75,108.14,171.95,500,156.75,-14.8,above_30mbps_reward,30.0
168.138.185.234:443,168.138.185.234,443,SG,SIN,142.59,25.63,174.78,500,142.59,2.19,below_30mbps,30.0
49.238.239.255:443,49.238.239.255,443,KR,,159.69,107.11,175.0,500,159.69,-14.69,above_30mbps_reward,30.0
49.238.238.132:2083,49.238.238.132,2083,KR,LAX,163.39,108.72,178.53,500,163.39,-14.86,above_30mbps_reward,30.0
49.238.237.232:2053,49.238.237.232,2053,KR,LAX,168.5,107.37,183.78,500,168.5,-14.72,above_30mbps_reward,30.0
49.238.236.30:2087,49.238.236.30,2087,KR,LAX,170.61,107.57,185.87,500,170.61,-14.74,above_30mbps_reward,30.0
49.238.239.41:2083,49.238.239.41,2083,KR,LAX,174.99,104.23,190.62,500,174.99,-14.37,above_30mbps_reward,30.0
49.238.239.40:2083,49.238.239.40,2083,KR,LAX,176.1,107.94,191.32,500,176.1,-14.78,above_30mbps_reward,30.0
49.238.236.12:2096,49.238.236.12,2096,KR,LAX,177.12,107.35,192.41,500,177.12,-14.71,above_30mbps_reward,30.0
49.238.238.131:2096,49.238.238.131,2096,KR,LAX,179.48,104.09,195.12,500,179.48,-14.36,above_30mbps_reward,30.0
49.238.239.40:2087,49.238.239.40,2087,KR,LAX,181.46,106.66,196.82,500,181.46,-14.64,above_30mbps_reward,30.0
49.238.237.212:2096,49.238.237.212,2096,KR,LAX,182.23,104.91,197.78,500,182.23,-14.45,above_30mbps_reward,30.0
49.238.237.61:8443,49.238.237.61,8443,KR,LAX,184.49,111.06,199.38,500,184.49,-15.11,above_30mbps_reward,30.0
49.238.236.31:2096,49.238.236.31,2096,KR,LAX,186.58,108.05,201.79,500,186.58,-14.79,above_30mbps_reward,30.0
31.77.228.53:443,31.77.228.53,443,KR,,209.45,27.14,240.88,500,209.45,1.43,below_30mbps,30.0
158.247.253.111:8443,158.247.253.111,8443,KR,ICN,250.69,53.83,273.94,500,250.69,-6.75,above_30mbps_reward,30.0
219.76.13.180:443,219.76.13.180,443,HK,,251.13,12.64,288.21,500,251.13,7.08,below_15mbps,30.0
156.239.245.134:443,156.239.245.134,443,HK,HKG,274.58,39.95,301.27,500,274.58,-3.31,above_30mbps_reward,30.0
154.3.32.164:8443,154.3.32.164,8443,HK,HKG,286.96,56.17,309.72,500,286.96,-7.24,above_30mbps_reward,30.0
85.121.245.149:443,85.121.245.149,443,HK,HKG,285.46,49.26,309.74,500,285.46,-5.72,above_30mbps_reward,30.0
103.39.78.112:8443,103.39.78.112,8443,HK,HKG,280.25,14.81,310.82,500,280.25,0.57,below_15mbps,30.0
103.39.78.14:8443,103.39.78.14,8443,HK,HKG,280.11,13.9,313.41,500,280.11,3.3,below_15mbps,30.0
103.39.78.118:8443,103.39.78.118,8443,HK,HKG,286.47,21.1,320.92,500,286.47,4.45,below_30mbps,30.0
219.76.13.183:443,219.76.13.183,443,HK,HKG,280.23,10.83,322.74,500,280.23,12.51,below_15mbps,30.0
103.137.22.71:8443,103.137.22.71,8443,TW,TPE,299.91,44.82,325.28,500,299.91,-4.63,above_30mbps_reward,30.0
45.38.60.153:2053,45.38.60.153,2053,HK,HKG,297.69,33.87,326.29,500,297.69,-1.4,above_30mbps_reward,30.0
43.254.164.160:8443,43.254.164.160,8443,HK,HKG,288.05,10.87,330.44,500,288.05,12.39,below_15mbps,30.0
43.254.164.50:8443,43.254.164.50,8443,HK,HKG,295.41,18.54,331.14,500,295.41,5.73,below_30mbps,30.0
188.253.6.209:443,188.253.6.209,443,TW,,308.06,41.65,334.28,500,308.06,-3.79,above_30mbps_reward,30.0
188.253.6.173:443,188.253.6.173,443,TW,,310.47,42.36,336.49,500,310.47,-3.98,above_30mbps_reward,30.0
217.60.248.100:2053,217.60.248.100,2053,HK,HKG,311.12,40.01,337.8,500,311.12,-3.32,above_30mbps_reward,30.0
188.253.6.136:443,188.253.6.136,443,TW,,306.61,26.98,338.12,500,306.61,1.51,below_30mbps,30.0
45.38.42.73:2053,45.38.42.73,2053,HK,HKG,317.49,38.38,344.65,500,317.49,-2.84,above_30mbps_reward,30.0
217.60.248.100:8443,217.60.248.100,8443,HK,HKG,318.72,40.95,345.13,500,318.72,-3.59,above_30mbps_reward,30.0
176.98.181.6:8443,176.98.181.6,8443,HK,HKG,319.42,38.25,346.62,500,319.42,-2.8,above_30mbps_reward,30.0
193.233.193.18:8443,193.233.193.18,8443,HK,HKG,318.63,33.71,347.28,500,318.63,-1.35,above_30mbps_reward,30.0
45.39.190.24:2053,45.39.190.24,2053,HK,HKG,328.83,36.67,356.51,500,328.83,-2.32,above_30mbps_reward,30.0
138.124.111.115:443,138.124.111.115,443,HK,,330.7,27.53,361.94,500,330.7,1.23,below_30mbps,30.0
82.152.91.210:443,82.152.91.210,443,TW,,320.54,10.87,362.93,500,320.54,12.39,below_15mbps,30.0
45.39.190.24:8443,45.39.190.24,8443,HK,HKG,337.1,37.73,364.45,500,337.1,-2.65,above_30mbps_reward,30.0
176.98.181.71:443,176.98.181.71,443,HK,,332.74,24.99,365.24,500,332.74,2.51,below_30mbps,30.0
2.56.91.49:8443,2.56.91.49,8443,HK,HKG,336.14,28.83,366.72,500,336.14,0.59,below_30mbps,30.0
91.149.237.61:443,91.149.237.61,443,HK,,338.09,32.99,366.99,500,338.09,-1.1,above_30mbps_reward,30.0
45.38.60.153:8443,45.38.60.153,8443,HK,HKG,343.28,38.23,370.48,500,343.28,-2.8,above_30mbps_reward,30.0
2.56.91.49:2053,2.56.91.49,2053,HK,HKG,347.18,26.61,378.88,500,347.18,1.7,below_30mbps,30.0
212.192.15.182:443,212.192.15.182,443,HK,HKG,352.98,38.19,380.19,500,352.98,-2.79,above_30mbps_reward,30.0
151.245.90.96:8443,151.245.90.96,8443,HK,HKG,353.63,37.33,381.11,500,353.63,-2.52,above_30mbps_reward,30.0
151.245.90.60:8443,151.245.90.60,8443,HK,HKG,363.59,19.14,399.02,500,363.59,5.43,below_30mbps,30.0
23.175.201.2:8443,23.175.201.2,8443,HK,HKG,370.5,30.72,400.23,500,370.5,-0.27,above_30mbps_reward,30.0
108.165.155.200:8443,108.165.155.200,8443,HK,HKG,372.67,17.36,408.99,500,372.67,6.32,below_30mbps,30.0
223.165.4.57:443,223.165.4.57,443,TW,HKG,387.57,37.46,415.01,500,387.57,-2.56,above_30mbps_reward,30.0
85.121.51.114:8443,85.121.51.114,8443,HK,HKG,433.31,30.7,463.04,500,433.31,-0.27,above_30mbps_reward,30.0
185.241.42.81:8443,185.241.42.81,8443,HK,HKG,470.96,29.28,501.32,500,470.96,0.36,below_30mbps,30.0
45.221.115.92:2096,45.221.115.92,2096,HK,HKG,917.04,46.28,942.04,500,917.04,-5.0,above_30mbps_reward,30.0
