node,ip,port,country,colo,latency_ms,speed_mbps,score,stability
114.32.9.249:443,114.32.9.249,443,TW,TPE,47.02,41.46,54.06,33.8
1.162.65.16:8443,1.162.65.16,8443,TW,TPE,42.54,102.42,58.37,500
47.237.187.96:2053,47.237.187.96,2053,SG,,49.75,172.11,59.59,500
43.165.178.147:8443,43.165.178.147,8443,JP,NRT,72.86,188.61,64.8,45.05
154.12.191.11:8443,154.12.191.11,8443,JP,NRT,63.66,337.79,65.72,500
35.194.109.94:443,35.194.109.94,443,JP,,66.59,279.58,68.14,90.97
220.135.92.105:2087,220.135.92.105,2087,TW,TPE,66.12,85.05,69.37,61.37
154.12.191.222:443,154.12.191.222,443,JP,NRT,68.67,292.67,72.38,500
103.117.102.200:443,103.117.102.200,443,JP,NRT,72.03,357.22,73.44,500
18.178.41.33:443,18.178.41.33,443,JP,NRT,80.58,579.81,76.4,102.12
54.250.143.140:443,54.250.143.140,443,JP,,64.08,120.41,78.04,500
54.250.124.53:443,54.250.124.53,443,JP,NRT,73.6,263.56,78.52,500
13.193.106.143:443,13.193.106.143,443,JP,NRT,65.68,117.96,79.88,500
57.181.195.93:443,57.181.195.93,443,JP,NRT,75.67,261.83,80.67,500
154.12.191.206:8443,154.12.191.206,8443,JP,NRT,81.64,424.87,81.05,500
43.165.175.34:443,43.165.175.34,443,JP,NRT,76.79,118.01,83.1,73.38
43.153.155.143:2053,43.153.155.143,2053,JP,NRT,80.15,37.06,84.23,19.84
43.153.155.143:8443,43.153.155.143,8443,JP,NRT,80.26,35.63,84.77,20.38
35.75.183.41:443,35.75.183.41,443,JP,NRT,71.92,108.1,87.13,500
54.150.241.35:443,54.150.241.35,443,JP,NRT,76.1,110.12,91.09,500
154.31.116.211:443,154.31.116.211,443,JP,NRT,88.62,324.46,91.14,500
56.155.51.149:443,56.155.51.149,443,JP,KIX,75.96,103.17,91.7,500
35.75.55.100:443,35.75.55.100,443,JP,NRT,78.01,118.31,92.17,500
