node,ip,port,country,colo,latency_ms,speed_mbps,score,stability,latency_score,speed_penalty,speed_tier,stability_weighted
122.248.238.214:443,122.248.238.214,443,SG,SIN,55.38,803.75,47.43,500,55.38,-37.95,above_30mbps_reward,30.0
52.221.158.37:443,52.221.158.37,443,SG,SIN,55.27,708.26,48.78,500,55.27,-36.49,above_30mbps_reward,30.0
18.141.208.166:443,18.141.208.166,443,SG,SIN,54.33,600.39,49.75,500,54.33,-34.58,above_30mbps_reward,30.0
18.140.28.73:443,18.140.28.73,443,SG,SIN,54.9,613.04,50.08,500,54.9,-34.82,above_30mbps_reward,30.0
52.77.54.144:443,52.77.54.144,443,SG,SIN,57.5,753.94,50.29,500,57.5,-37.21,above_30mbps_reward,30.0
13.213.65.117:443,13.213.65.117,443,SG,SIN,57.18,711.56,50.64,500,57.18,-36.54,above_30mbps_reward,30.0
52.221.53.171:443,52.221.53.171,443,SG,SIN,54.72,467.46,53.03,500,54.72,-31.69,above_30mbps_reward,30.0
54.169.146.255:443,54.169.146.255,443,SG,SIN,59.04,631.05,53.88,500,59.04,-35.16,above_30mbps_reward,30.0
54.169.57.101:8443,54.169.57.101,8443,SG,SIN,60.89,701.16,54.52,500,60.89,-36.37,above_30mbps_reward,30.0
18.139.30.198:443,18.139.30.198,443,SG,SIN,60.92,695.85,54.63,500,60.92,-36.29,above_30mbps_reward,30.0
52.221.4.213:443,52.221.4.213,443,SG,SIN,61.14,642.88,55.77,500,61.14,-35.37,above_30mbps_reward,30.0
47.131.189.221:443,47.131.189.221,443,SG,SIN,61.21,643.86,55.82,500,61.21,-35.39,above_30mbps_reward,30.0
18.139.143.168:443,18.139.143.168,443,SG,SIN,60.57,570.65,56.57,500,60.57,-34.0,above_30mbps_reward,30.0
18.138.252.84:443,18.138.252.84,443,SG,SIN,51.1,240.39,57.08,500,51.1,-24.02,above_30mbps_reward,30.0
13.212.207.124:443,13.212.207.124,443,SG,SIN,57.83,427.04,57.18,500,57.83,-30.65,above_30mbps_reward,30.0
47.131.225.17:443,47.131.225.17,443,SG,SIN,61.47,564.34,57.6,500,61.47,-33.87,above_30mbps_reward,30.0
52.77.72.146:443,52.77.72.146,443,SG,SIN,57.2,383.17,57.8,500,57.2,-29.4,above_30mbps_reward,30.0
46.137.229.208:443,46.137.229.208,443,SG,SIN,62.12,579.58,57.94,500,62.12,-34.18,above_30mbps_reward,30.0
54.255.175.251:8443,54.255.175.251,8443,SG,SIN,64.67,662.73,58.95,500,64.67,-35.72,above_30mbps_reward,30.0
13.212.33.11:443,13.212.33.11,443,SG,SIN,60.89,470.74,59.11,500,60.89,-31.78,above_30mbps_reward,30.0
35.194.109.94:443,35.194.109.94,443,JP,,64.83,569.47,60.83,99.91,64.83,-33.97,above_30mbps_reward,29.97
18.141.237.52:443,18.141.237.52,443,SG,SIN,69.37,791.92,61.59,500,69.37,-37.78,above_30mbps_reward,30.0
34.104.218.57:443,34.104.218.57,443,JP,NRT,65.59,423.85,65.03,500,65.59,-30.56,above_30mbps_reward,30.0
114.32.9.249:443,114.32.9.249,443,TW,TPE,41.91,41.82,68.08,500,41.91,-3.83,above_30mbps_reward,30.0
124.243.136.65:443,124.243.136.65,443,SG,SIN,58.02,165.75,68.29,500,58.02,-19.73,above_30mbps_reward,30.0
13.250.39.15:443,13.250.39.15,443,SG,SIN,58.78,145.03,70.59,500,58.78,-18.19,above_30mbps_reward,30.0
54.254.247.156:443,54.254.247.156,443,SG,SIN,58.86,143.45,70.8,500,58.86,-18.06,above_30mbps_reward,30.0
8.222.221.91:443,8.222.221.91,443,SG,,68.32,300.51,71.72,500,68.32,-26.6,above_30mbps_reward,30.0
8.219.104.37:443,8.219.104.37,443,SG,SIN,61.55,144.01,73.44,500,61.55,-18.11,above_30mbps_reward,30.0
43.108.46.150:8443,43.108.46.150,8443,KR,ICN,77.68,530.47,74.53,500,77.68,-33.15,above_30mbps_reward,30.0
195.172.137.20:8443,195.172.137.20,8443,SG,SIN,78.42,553.99,74.77,500,78.42,-33.65,above_30mbps_reward,30.0
166.108.238.41:443,166.108.238.41,443,SG,SIN,60.45,113.72,75.07,500,60.45,-15.38,above_30mbps_reward,30.0
157.254.198.27:443,157.254.198.27,443,JP,NRT,71.56,269.21,76.23,500,71.56,-25.33,above_30mbps_reward,30.0
18.138.34.221:443,18.138.34.221,443,SG,SIN,69.83,189.79,78.54,500,69.83,-21.29,above_30mbps_reward,30.0
43.165.189.127:8443,43.165.189.127,8443,JP,,75.08,246.26,80.78,500,75.08,-24.3,above_30mbps_reward,30.0
13.212.126.228:443,13.212.126.228,443,SG,SIN,59.73,45.53,84.92,500,59.73,-4.81,above_30mbps_reward,30.0
54.150.43.75:443,54.150.43.75,443,JP,NRT,90.36,494.49,88.02,500,90.36,-32.34,above_30mbps_reward,30.0
13.212.102.10:443,13.212.102.10,443,SG,SIN,57.08,23.01,90.57,500,57.08,3.49,below_30mbps,30.0
54.168.245.61:443,54.168.245.61,443,JP,NRT,94.03,538.49,90.7,500,94.03,-33.33,above_30mbps_reward,30.0
3.1.187.169:443,3.1.187.169,443,SG,SIN,70.62,60.91,92.45,500,70.62,-8.17,above_30mbps_reward,30.0
52.194.215.93:443,52.194.215.93,443,JP,NRT,94.93,492.96,92.62,500,94.93,-32.31,above_30mbps_reward,30.0
52.196.63.84:443,52.196.63.84,443,JP,NRT,90.87,308.02,93.99,500,90.87,-26.88,above_30mbps_reward,30.0
52.195.18.120:443,52.195.18.120,443,JP,NRT,94.14,402.47,94.17,500,94.14,-29.97,above_30mbps_reward,30.0
52.195.222.35:443,52.195.222.35,443,JP,NRT,94.79,396.42,95.0,500,94.79,-29.79,above_30mbps_reward,30.0
52.141.39.15:443,52.141.39.15,443,KR,,110.78,273.35,96.77,38.3,110.78,-25.5,above_30mbps_reward,11.49
152.69.229.110:443,152.69.229.110,443,KR,ICN,101.75,541.03,98.37,500,101.75,-33.38,above_30mbps_reward,30.0
138.2.122.191:443,138.2.122.191,443,KR,,96.77,57.5,98.62,31.19,96.77,-7.51,above_30mbps_reward,9.36
168.110.121.126:8443,168.110.121.126,8443,KR,ICN,102.89,530.12,99.74,500,102.89,-33.15,above_30mbps_reward,30.0
13.200.106.232:443,13.200.106.232,443,IN,BOM,106.55,703.71,100.13,500,106.55,-36.42,above_30mbps_reward,30.0
35.75.102.4:443,35.75.102.4,443,JP,NRT,95.4,265.99,100.21,500,95.4,-25.19,above_30mbps_reward,30.0
124.156.208.160:443,124.156.208.160,443,JP,NRT,76.53,33.06,100.63,84.07,76.53,-1.12,above_30mbps_reward,25.22
168.107.40.4:8443,168.107.40.4,8443,KR,ICN,104.24,520.78,101.3,500,104.24,-32.94,above_30mbps_reward,30.0
129.154.50.72:8443,129.154.50.72,8443,KR,ICN,102.1,420.15,101.64,500,102.1,-30.46,above_30mbps_reward,30.0
202.144.195.187:443,202.144.195.187,443,JP,NRT,77.51,44.9,102.86,500,77.51,-4.65,above_30mbps_reward,30.0
43.153.152.106:443,43.153.152.106,443,JP,,70.66,14.08,103.42,500,70.66,2.76,below_15mbps,30.0
168.110.112.196:8443,168.110.112.196,8443,KR,ICN,106.54,483.76,104.45,500,106.54,-32.09,above_30mbps_reward,30.0
43.167.11.157:2083,43.167.11.157,2083,JP,NRT,75.54,30.86,105.21,500,75.54,-0.33,above_30mbps_reward,30.0
43.167.246.133:443,43.167.246.133,443,JP,NRT,76.65,30.1,106.61,500,76.65,-0.04,above_30mbps_reward,30.0
35.154.184.88:443,35.154.184.88,443,IN,BOM,110.96,538.43,107.63,500,110.96,-33.33,above_30mbps_reward,30.0
168.107.56.181:443,168.107.56.181,443,KR,ICN,108.37,421.55,107.87,500,108.37,-30.5,above_30mbps_reward,30.0
65.2.215.47:8443,65.2.215.47,8443,IN,BOM,111.23,517.92,108.35,500,111.23,-32.88,above_30mbps_reward,30.0
43.167.9.109:443,43.167.9.109,443,JP,NRT,78.43,29.28,108.79,500,78.43,0.36,below_30mbps,30.0
160.16.109.149:443,160.16.109.149,443,JP,NRT,88.73,70.45,108.88,500,88.73,-9.85,above_30mbps_reward,30.0
43.163.199.247:443,43.163.199.247,443,JP,NRT,73.25,17.55,109.47,500,73.25,6.22,below_30mbps,30.0
45.192.206.151:443,45.192.206.151,443,JP,NRT,93.75,101.12,109.73,500,93.75,-14.02,above_30mbps_reward,30.0
43.167.224.16:443,43.167.224.16,443,JP,NRT,80.22,28.89,110.78,500,80.22,0.55,below_30mbps,30.0
3.37.245.168:443,3.37.245.168,443,KR,ICN,114.42,538.89,111.08,500,114.42,-33.34,above_30mbps_reward,30.0
52.66.200.252:443,52.66.200.252,443,IN,BOM,113.92,506.55,111.3,500,113.92,-32.62,above_30mbps_reward,30.0
119.28.162.39:8443,119.28.162.39,8443,KR,ICN,99.59,27.55,112.02,37.36,99.59,1.22,below_30mbps,11.21
13.126.206.240:443,13.126.206.240,443,IN,BOM,113.94,443.28,112.86,500,113.94,-31.08,above_30mbps_reward,30.0
43.201.54.156:443,43.201.54.156,443,KR,ICN,115.17,467.37,113.48,500,115.17,-31.69,above_30mbps_reward,30.0
139.84.174.65:443,139.84.174.65,443,IN,DEL,115.5,431.78,114.72,500,115.5,-30.78,above_30mbps_reward,30.0
123.111.169.70:2083,123.111.169.70,2083,KR,ICN,94.15,62.39,115.7,500,94.15,-8.45,above_30mbps_reward,30.0
139.84.168.252:8443,139.84.168.252,8443,IN,DEL,117.78,482.0,115.73,500,117.78,-32.05,above_30mbps_reward,30.0
3.38.190.222:443,3.38.190.222,443,KR,ICN,112.98,294.59,116.61,500,112.98,-26.37,above_30mbps_reward,30.0
13.124.169.29:443,13.124.169.29,443,KR,ICN,109.39,206.73,117.11,500,109.39,-22.28,above_30mbps_reward,30.0
47.80.57.116:443,47.80.57.116,443,KR,ICN,80.1,12.44,117.78,500,80.1,7.68,below_15mbps,30.0
52.193.2.88:443,52.193.2.88,443,JP,NRT,93.87,49.54,118.08,500,93.87,-5.79,above_30mbps_reward,30.0
